objectid,title,creator,description,image_thumb
1984-02-01_STMac_003_Microsoft_Various,"Microsoft's greatest hits are now playing on Macintosh","Microsoft","MULTIPLAN The most powerful spreadsheet on the market.    CHART. The first truly sophisticated and flexible graphics system for personal computers.",http://macads.32by32.com:3001/macads/thumbnails/1984-02-01_STMac_003_Microsoft_Various.jpg
1984-04-01_MacWorld_001_Tecmar_Various,"Tecmar's Candy Apple Line Begins Here With Peripherals for Macintosh","Microsoft","APPLE JACK  WINCHESTER    Relax with more disk storage.    5 MByte Removable Cartridge Winchester",http://macads.32by32.com:3001/macads/thumbnails/1984-04-01_MacWorld_001_Tecmar_Various.jpg
